@relation InstanceResultListener

@attribute Key_Dataset {heart-c1}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.OneR,weka.classifiers.rules.JRip,weka.classifiers.trees.J48,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-B 6','-F 3 -N 2.0 -O 2 -S 1','-R -N 3 -Q 1 -M 3','-L 0.5 -M 0.3 -N 500 -V 0 -S 0 -E 20 -H 5'}
@attribute Key_Scheme_version_ID {-3459427003147861443,-6589312996832147161,-217733168393644444,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 13\nSize of the tree: 23\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 7\nSize of the tree: 12\n','Number of leaves: 8\nSize of the tree: 14\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 6\nSize of the tree: 11\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

heart-c1,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20180607.1903,200,103,72,31,0,69.902913,30.097087,0,0.388197,0.300971,0.548608,60.666537,110.142736,102.432227,33294,-33191.567773,0.994488,323.242718,-322.248231,40.075687,0.389084,4030.686226,0.767857,43,0.382979,18,0.617021,29,0.232143,13,0.704918,0.767857,0.735043,0.390101,0.692439,0.66749,0.699029,0.314151,0.685849,0.300971,0.698328,0.699029,0.697006,0.390101,0.692439,0.637057,0.693364,0.699029,0.023,0.001,0.00108,0.000392,1.08,0.392,1257,25366,14017,69.902913,50,?,?,?,?
heart-c1,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20180607.1903,200,103,76,27,0,73.786408,26.213592,0,0.467139,0.262136,0.511992,52.838597,102.791427,102.432227,28998,-28895.567773,0.994488,281.533981,-280.539493,48.121692,0.467201,4839.928063,0.803571,45,0.340426,16,0.659574,31,0.196429,11,0.737705,0.803571,0.769231,0.46943,0.731573,0.699595,0.737864,0.274718,0.725282,0.262136,0.737883,0.737864,0.736102,0.46943,0.731573,0.673391,0.73293,0.737864,0.002,0,0.001462,0.000335,1.462,0.335,1228,25366,14017,73.786408,50,?,?,?,?
heart-c1,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20180607.1903,199,104,77,27,0,74.038462,25.961538,0,0.470987,0.259615,0.509525,52.348799,102.372385,103.315457,28998,-28894.684543,0.993418,278.826923,-277.833505,49.035816,0.471498,4929.045889,0.807018,46,0.340426,16,0.659574,31,0.192982,11,0.741935,0.807018,0.773109,0.473264,0.733296,0.704524,0.740385,0.273793,0.726207,0.259615,0.7402,0.740385,0.738546,0.473264,0.733296,0.675669,0.734869,0.740385,0.001,0.001,0.00124,0.000453,1.24,0.453,1228,25249,14134,74.038462,50,?,?,?,?
heart-c1,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20180607.1903,200,103,76,27,0,73.786408,26.213592,0,0.47079,0.262136,0.511992,52.838597,102.791427,102.432227,28998,-28895.567773,0.994488,281.533981,-280.539493,48.121692,0.467201,4839.928063,0.767857,43,0.297872,14,0.702128,33,0.232143,13,0.754386,0.767857,0.761062,0.47088,0.734992,0.705474,0.737864,0.267879,0.732121,0.262136,0.737505,0.737864,0.737615,0.47088,0.734992,0.675425,0.73537,0.737864,0.001,0,0.00136,0.000409,1.36,0.409,1228,25366,14017,73.786408,50,?,?,?,?
heart-c1,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20180607.1903,200,103,71,32,0,68.932039,31.067961,0,0.362969,0.31068,0.557386,62.623523,111.905132,102.432227,34368,-34265.567773,0.994488,333.669903,-332.675415,38.064185,0.369555,3828.375767,0.803571,45,0.446809,21,0.553191,26,0.196429,11,0.681818,0.803571,0.737705,0.370382,0.678381,0.654686,0.68932,0.332557,0.667443,0.31068,0.691348,0.68932,0.68356,0.370382,0.678381,0.626361,0.678376,0.68932,0.002,0,0.001483,0.00044,1.483,0.44,1228,25366,14017,68.932039,50,?,?,?,?
heart-c1,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20180607.1903,201,102,71,31,0,69.607843,30.392157,0,0.382663,0.303922,0.551291,61.287495,110.78047,101.306814,33294,-33192.693186,0.993204,326.411765,-325.418561,38.992062,0.382275,3919.055251,0.75,42,0.369565,17,0.630435,29,0.25,14,0.711864,0.75,0.730435,0.383348,0.690217,0.671153,0.696078,0.315644,0.684356,0.303922,0.694977,0.696078,0.69492,0.383348,0.690217,0.635386,0.69106,0.696078,0.002,0,0.001497,0.000473,1.497,0.473,1228,25483,13900,69.607843,50,?,?,?,?
heart-c1,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20180607.1903,200,103,71,32,0,68.932039,31.067961,0,0.349388,0.31068,0.557386,62.623523,111.905132,102.432227,34368,-34265.567773,0.994488,333.669903,-332.675415,38.064185,0.369555,3828.375767,0.910714,51,0.574468,27,0.425532,20,0.089286,5,0.653846,0.910714,0.761194,0.390646,0.668123,0.644011,0.68932,0.353074,0.646926,0.31068,0.720538,0.68932,0.667359,0.390646,0.668123,0.625097,0.658375,0.68932,0.003,0,0.001813,0.000444,1.813,0.444,1257,25366,14017,68.932039,50,?,?,?,?
heart-c1,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20180607.1903,200,103,76,27,0,73.786408,26.213592,0,0.465295,0.262136,0.511992,52.838597,102.791427,102.432227,28998,-28895.567773,0.994488,281.533981,-280.539493,48.121692,0.467201,4839.928063,0.821429,46,0.361702,17,0.638298,30,0.178571,10,0.730159,0.821429,0.773109,0.469832,0.729863,0.696861,0.737864,0.278138,0.721862,0.262136,0.739213,0.737864,0.735028,0.469832,0.729863,0.672636,0.731382,0.737864,0.001,0,0.000874,0.000443,0.874,0.443,1228,25366,14017,73.786408,50,?,?,?,?
heart-c1,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20180607.1903,200,103,73,30,0,70.873786,29.126214,0,0.400698,0.291262,0.539687,58.709552,108.351678,102.432227,32220,-32117.567773,0.994488,312.815534,-311.821046,42.087188,0.408613,4232.996685,0.839286,47,0.446809,21,0.553191,26,0.160714,9,0.691176,0.839286,0.758065,0.412733,0.696239,0.667473,0.708738,0.316261,0.683739,0.291262,0.714759,0.708738,0.701519,0.412733,0.696239,0.64345,0.696105,0.708738,0.001,0,0.001009,0.000416,1.009,0.416,1228,25366,14017,70.873786,50,?,?,?,?
